NPI,State,Login Time,Logout Time,Usage Time (mins),Region,Speciality,Count of Survey Attempts
1000000000,NY,2025-03-08 06:09:00,2025-03-08 06:28:00,19,Northeast,Cardiology,3
1000000001,MI,2025-03-08 12:28:00,2025-03-08 13:10:00,42,Midwest,Oncology,5
1000000002,CA,2025-03-08 15:11:00,2025-03-08 15:37:00,26,West,Oncology,8
1000000003,TX,2025-03-08 14:17:00,2025-03-08 15:36:00,79,Northeast,Orthopedics,9
1000000004,GA,2025-03-08 15:59:00,2025-03-08 17:37:00,98,West,Oncology,0
1000000005,IL,2025-03-08 11:41:00,2025-03-08 13:37:00,116,Midwest,Orthopedics,10
1000000006,TX,2025-03-08 11:33:00,2025-03-08 12:20:00,47,Midwest,Cardiology,6
1000000007,TX,2025-03-08 16:37:00,2025-03-08 18:15:00,98,West,General Practice,6
1000000008,NC,2025-03-08 18:54:00,2025-03-08 19:22:00,28,Northeast,Pediatrics,8
1000000009,PA,2025-03-08 13:42:00,2025-03-08 14:01:00,19,West,Neurology,10
1000000010,OH,2025-03-08 15:05:00,2025-03-08 15:21:00,16,South,Orthopedics,1
1000000011,IL,2025-03-08 12:22:00,2025-03-08 13:58:00,96,Midwest,General Practice,10
1000000012,NY,2025-03-08 14:31:00,2025-03-08 15:46:00,75,Midwest,Orthopedics,5
1000000013,CA,2025-03-08 12:21:00,2025-03-08 13:06:00,45,West,Oncology,10
1000000014,CA,2025-03-08 13:05:00,2025-03-08 13:25:00,20,South,Radiology,2
1000000015,OH,2025-03-08 11:26:00,2025-03-08 13:17:00,111,West,General Practice,2
1000000016,GA,2025-03-08 11:20:00,2025-03-08 12:53:00,93,Midwest,Cardiology,9
1000000017,MI,2025-03-08 20:10:00,2025-03-08 21:31:00,81,Northeast,Radiology,8
1000000018,TX,2025-03-08 12:23:00,2025-03-08 12:29:00,6,Midwest,General Practice,5
1000000019,CA,2025-03-08 12:34:00,2025-03-08 13:29:00,55,West,Orthopedics,0
1000000020,TX,2025-03-08 14:21:00,2025-03-08 14:33:00,12,South,Cardiology,4
1000000021,PA,2025-03-08 19:06:00,2025-03-08 19:17:00,11,West,Neurology,0
1000000022,OH,2025-03-08 13:34:00,2025-03-08 15:22:00,108,Northeast,Oncology,7
1000000023,PA,2025-03-08 06:55:00,2025-03-08 08:53:00,118,Midwest,Oncology,4
1000000024,IL,2025-03-08 19:08:00,2025-03-08 20:24:00,76,West,Radiology,7
1000000025,NY,2025-03-08 11:05:00,2025-03-08 11:41:00,36,Northeast,Neurology,1
1000000026,OH,2025-03-08 16:12:00,2025-03-08 16:29:00,17,West,General Practice,7
1000000027,GA,2025-03-08 10:39:00,2025-03-08 12:10:00,91,Northeast,Neurology,1
1000000028,IL,2025-03-08 15:54:00,2025-03-08 16:07:00,13,West,General Practice,9
